Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,66,2,Some Random Commen with Id 0
1,1,6,154,0,Some Random Commen with Id 1
2,1,6,79,6,Some Random Commen with Id 2
3,1,6,44,2,Some Random Commen with Id 3
4,1,6,138,4,Some Random Commen with Id 4
5,1,6,34,2,Some Random Commen with Id 5
6,2,9,37,3,Some Random Commen with Id 6
7,2,9,116,3,Some Random Commen with Id 7
8,3,1,33,8,Some Random Commen with Id 8
9,3,1,164,2,Some Random Commen with Id 9
10,3,1,50,4,Some Random Commen with Id 10
11,3,1,34,6,Some Random Commen with Id 11
12,3,1,64,0,Some Random Commen with Id 12
13,3,1,17,3,Some Random Commen with Id 13
14,3,1,11,0,Some Random Commen with Id 14
15,3,1,189,0,Some Random Commen with Id 15
16,4,0,89,2,Some Random Commen with Id 16
17,4,0,122,9,Some Random Commen with Id 17
18,4,0,134,2,Some Random Commen with Id 18
19,5,6,58,6,Some Random Commen with Id 19
20,5,6,177,4,Some Random Commen with Id 20
21,5,6,11,4,Some Random Commen with Id 21
22,5,6,25,8,Some Random Commen with Id 22
23,5,6,82,4,Some Random Commen with Id 23
24,6,1,180,8,Some Random Commen with Id 24
25,6,1,139,8,Some Random Commen with Id 25
26,6,1,107,3,Some Random Commen with Id 26
27,6,1,87,4,Some Random Commen with Id 27
28,6,1,28,1,Some Random Commen with Id 28
29,6,1,56,7,Some Random Commen with Id 29
30,7,8,105,1,Some Random Commen with Id 30
31,7,8,80,6,Some Random Commen with Id 31
32,7,8,166,9,Some Random Commen with Id 32
33,7,8,27,9,Some Random Commen with Id 33
34,7,8,150,2,Some Random Commen with Id 34
35,7,8,133,5,Some Random Commen with Id 35
36,7,8,54,9,Some Random Commen with Id 36
37,7,8,126,7,Some Random Commen with Id 37
38,8,0,101,9,Some Random Commen with Id 38
39,8,0,108,3,Some Random Commen with Id 39
40,8,0,21,0,Some Random Commen with Id 40
41,8,0,102,8,Some Random Commen with Id 41
42,8,0,163,8,Some Random Commen with Id 42
43,8,0,172,1,Some Random Commen with Id 43
44,8,0,171,5,Some Random Commen with Id 44
45,8,0,27,9,Some Random Commen with Id 45
46,8,0,106,4,Some Random Commen with Id 46
47,9,9,53,6,Some Random Commen with Id 47
